time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20160907T001514,102.07,0,0,102.1,0,0
20160907T001516,102.071,0,0,102.101,0,0
20160907T001517,102.07,0,0,102.101,0,0
20160907T001517,102.07,0,0,102.1,0,0
20160907T001522,102.069,0,0,102.099,0,0
20160907T001525,102.069,0,0,102.1,0,0
20160907T001525,102.068,0,0,102.099,0,0
20160907T001528,102.069,0,0,102.1,0,0
20160907T001529,102.067,0,0,102.098,0,0
20160907T001529,102.061,0,0,102.101,0,0
20160907T001529,102.056,0,0,102.098,0,0
20160907T001530,102.052,0,0,102.096,0,0
20160907T001530,102.051,0,0,102.095,0,0
20160907T001530,102.051,0,0,102.094,0,0
20160907T001531,102.05,0,0,102.094,0,0
20160907T001531,102.049,0,0,102.093,0,0
20160907T001531,102.048,0,0,102.092,0,0
20160907T001531,102.043,0,0,102.088,0,0
20160907T001531,102.04,0,0,102.085,0,0
20160907T001531,102.041,0,0,102.086,0,0
20160907T001534,102.042,0,0,102.087,0,0
20160907T001535,102.043,0,0,102.088,0,0
20160907T001537,102.047,0,0,102.092,0,0
20160907T001538,102.048,0,0,102.093,0,0
20160907T001541,102.054,0,0,102.099,0,0
20160907T001541,102.061,0,0,102.092,0,0
20160907T001544,102.062,0,0,102.093,0,0
20160907T001545,102.061,0,0,102.092,0,0
20160907T001547,102.062,0,0,102.093,0,0
20160907T001601,102.068,0,0,102.099,0,0
20160907T001601,102.071,0,0,102.102,0,0
20160907T001601,102.072,0,0,102.103,0,0
20160907T001604,102.073,0,0,102.104,0,0
20160907T001604,102.074,0,0,102.105,0,0
20160907T001604,102.076,0,0,102.108,0,0
20160907T001606,102.074,0,0,102.105,0,0
20160907T001606,102.077,0,0,102.108,0,0
20160907T001606,102.077,0,0,102.107,0,0
20160907T001610,102.077,0,0,102.106,0,0
20160907T001612,102.077,0,0,102.108,0,0
20160907T001612,102.078,0,0,102.108,0,0
20160907T001612,102.08,0,0,102.11,0,0
